,Device_type,Device_ID,Device_brand,Device_model,Manufacture_Date,Allocation_Date,device_in_use,water_damage,device_responsive,battery_health,Usage(hrs),Latency(ms)
0,Feature Phone,32269222,Nokia,8000,2020-04-28,2021-08-09,Yes,No,Yes,Average,9.96,Average
1,Smart Phone,22957399,Samsung,Galaxy A6,2020-11-04,2021-03-11,Yes,No,Yes,Good,13.56,Good
2,Feature Phone,11617884,Samsung,225,2017-09-05,2021-06-10,No,Yes,No,Good,14.83,Good
3,Smart Phone,50385935,Samsung,Galaxy J7 duo,2020-01-06,2021-01-24,Yes,Yes,Yes,Poor,2.92,Poor
4,Feature Phone,85194014,Nokia,6300,2019-08-16,2021-01-02,No,No,No,Average,6.3,Average
5,Smart Phone,78122420,Samsung,Galaxy Note 9,2014-01-10,2021-08-02,Yes,No,Yes,Poor,3.3,Poor
6,Smart Phone,37371609,Nokia,G50,2020-04-19,2021-03-05,No,No,No,Good,18.91,Good
7,Laptop,52484896,Lenovo,ThinkPad,2014-02-13,2021-05-13,No,Yes,No,Good,17.74,Good
8,Smart Phone,43546237,Samsung,Galaxy Note 9,2019-09-17,2021-02-02,No,No,No,Average,9.88,Average
9,Laptop,16605893,HP,Pavilion,2016-10-04,2021-01-22,No,Yes,Yes,Average,8.29,Average
10,Feature Phone,60512000,Samsung,8000,2016-09-12,2021-02-25,No,Yes,Yes,Average,9.72,Average
11,Laptop,30580299,Apple,ProBook,2014-09-19,2021-05-30,No,No,No,Poor,4.1,Poor
12,Laptop,39614643,HP,Pavilion,2017-06-22,2021-07-14,No,Yes,No,Average,8.83,Average
13,Laptop,70795936,Dell,Vostro,2018-07-21,2021-01-16,No,No,No,Average,8.83,Average
14,Laptop,71998596,Dell,Vostro,2016-07-07,2021-05-05,Yes,No,Yes,Good,16.64,Good
15,Feature Phone,87486926,Samsung,215,2018-11-21,2021-06-16,Yes,No,Yes,Poor,1.95,Poor
16,Feature Phone,32018004,Nokia,5310,2019-03-11,2021-04-17,No,No,No,Good,16.9,Good
17,Smart Phone,14340284,Nokia,T20,2019-05-03,2021-05-24,No,No,Yes,Poor,3.58,Poor
18,Smart Phone,70790443,Samsung,Galaxy J7 duo,2014-06-02,2021-06-12,No,Yes,Yes,Average,9.94,Average
19,Laptop,25194814,Apple,ProBook,2017-09-10,2021-07-22,Yes,Yes,Yes,Poor,2.6,Poor
20,Smart Phone,18761887,Samsung,Galaxy J7 duo,2015-03-08,2021-03-21,No,No,Yes,Poor,1.82,Poor
21,Smart Phone,52418624,Samsung,Galaxy A6,2016-09-30,2021-06-03,No,Yes,No,Good,18.9,Good
22,Smart Phone,73303343,Apple,Iphone 11,2016-03-09,2021-03-04,No,No,Yes,Poor,3.89,Poor
23,Laptop,07399312,Dell,Inspiron,2015-03-26,2021-05-31,No,Yes,No,Poor,3.72,Poor
24,Laptop,24032513,Dell,Inspiron,2016-04-12,2021-01-20,No,No,No,Average,8.85,Average
25,Feature Phone,72406922,Samsung,8000,2020-10-29,2021-07-02,Yes,Yes,Yes,Average,6.92,Average
26,Feature Phone,69073205,Nokia,225,2018-07-15,2021-05-14,No,No,No,Average,7.64,Average
27,Smart Phone,12799466,Apple,Iphone 5S,2014-03-19,2021-06-10,No,No,No,Poor,3.86,Poor
28,Feature Phone,31848114,Samsung,8000,2014-09-21,2021-05-30,No,Yes,No,Good,18.13,Good
29,Laptop,14077128,Lenovo,ThinkPad,2020-01-06,2021-03-18,No,Yes,Yes,Good,19.84,Good
30,Feature Phone,12141272,Nokia,5310,2016-07-21,2021-06-01,No,No,Yes,Average,9.15,Average
31,Feature Phone,89444474,Nokia,8000,2015-05-11,2021-05-27,Yes,No,Yes,Poor,3.9,Poor
32,Smart Phone,45887475,Samsung,Galaxy J7 duo,2015-08-20,2021-04-21,Yes,Yes,Yes,Good,13.43,Good
33,Feature Phone,40225036,Samsung,225,2020-09-24,2021-04-22,No,Yes,No,Good,12.51,Good
34,Feature Phone,42959519,Samsung,125,2015-05-31,2021-03-23,Yes,No,Yes,Good,13.13,Good
35,Feature Phone,48077491,Samsung,125,2016-06-03,2021-01-30,No,No,No,Poor,3.37,Poor
36,Feature Phone,70761627,Nokia,215,2015-12-07,2021-06-02,No,No,No,Poor,2.58,Poor
37,Feature Phone,96745953,Samsung,5310,2014-07-02,2021-06-24,No,No,Yes,Poor,2.13,Poor
38,Smart Phone,40892009,OnePlus,OnePlus 6,2015-10-16,2021-01-22,No,Yes,No,Poor,3.97,Poor
39,Laptop,07115776,Apple,ProBook,2017-08-10,2021-02-03,No,No,Yes,Poor,2.86,Poor
40,Smart Phone,28060970,Apple,Iphone 7,2020-11-22,2021-01-29,Yes,Yes,Yes,Poor,4.11,Poor
41,Smart Phone,09261990,Apple,Iphone 13,2019-01-10,2021-03-03,Yes,Yes,Yes,Poor,4.3,Poor
42,Smart Phone,20962654,Samsung,Galaxy A8s,2014-09-25,2021-01-10,Yes,Yes,Yes,Good,12.91,Good
43,Laptop,12934829,Apple,ProBook,2016-01-24,2021-06-24,No,No,Yes,Poor,1.24,Poor
44,Feature Phone,48708500,Nokia,6300,2020-07-27,2021-05-04,No,No,No,Good,19.17,Good
45,Feature Phone,53424037,Nokia,125,2018-05-14,2021-07-27,No,Yes,No,Good,13.31,Good
46,Feature Phone,37710996,Samsung,5310,2020-05-19,2021-06-20,No,Yes,Yes,Good,17.96,Good
47,Smart Phone,78456396,Oppo,Joy,2014-12-21,2021-06-30,Yes,No,Yes,Good,19.59,Good
48,Laptop,06414269,Dell,Inspiron,2014-01-16,2021-08-07,No,No,No,Average,6.18,Average
49,Laptop,64636337,Lenovo,Ideapad,2017-06-24,2021-04-18,No,Yes,Yes,Average,9.63,Average
50,Smart Phone,48246927,Blackberry,Torch,2019-01-04,2021-05-07,No,Yes,No,Average,8.61,Average
51,Feature Phone,75774547,Samsung,8000,2016-08-09,2021-02-04,No,Yes,No,Average,7.66,Average
52,Laptop,09394278,Lenovo,ThinkPad,2018-08-03,2021-03-26,No,Yes,No,Poor,3.65,Poor
53,Smart Phone,58493038,OnePlus,OnePlus 6,2017-11-27,2021-06-23,No,Yes,No,Poor,1.1,Poor
54,Feature Phone,72091111,Samsung,215,2019-01-03,2021-04-13,No,No,No,Average,9.65,Average
