,Device_type,Device_ID,Device_brand,Device_model,Manufacture_Date,Allocation_Date,device_in_use,water_damage,device_responsive,battery_health,Usage(hrs),Latency(ms)
0,Laptop,37236403,Apple,ProBook,15-07-2019,05-08-2021,No,No,Yes,Poor,1.6,Poor
1,Laptop,27710104,Apple,ProBook,27-04-2015,22-01-2021,No,No,Yes,Poor,1.97,Good
2,Feature Phone,79122931,Nokia,5310,31-08-2015,15-02-2021,Yes,No,Yes,Average,7.53,Average
3,Laptop,4498605,Dell,Vostro,30-09-2018,08-08-2021,No,No,No,Good,1.62,Good
4,Feature Phone,78132818,Samsung,6300,01-10-2018,09-08-2021,Yes,No,Yes,Average,3.51,Average
5,Smart Phone,91237507,Samsung,Galaxy S9,23-07-2014,19-05-2021,Yes,No,Yes,Good,17.98,Good
6,Laptop,20450687,HP,Probook,26-09-2014,22-05-2021,No,Yes,Yes,Average,4.1,Average
7,Feature Phone,1575712,Nokia,8000,19-09-2015,20-07-2021,No,Yes,No,Average,5.1,Good
8,Smart Phone,57476209,OnePlus,OnePlus nord,21-11-2014,21-06-2021,No,No,No,Good,2.63,Average
9,Smart Phone,4458463,Samsung,Galaxy S9,25-06-2016,31-03-2021,Yes,No,Yes,Good,4.52,Poor
10,Laptop,10389621,Apple,ProBook,29-10-2020,29-05-2021,No,No,No,Good,2.63,Poor
11,Smart Phone,22691286,Samsung,Galaxy A8s,19-01-2014,18-04-2021,No,Yes,No,Good,19.79,Poor
12,Laptop,88973906,HP,Pavilion,16-05-2016,09-02-2021,No,No,No,Average,1.77,Poor
13,Feature Phone,80461593,Nokia,225,28-04-2015,16-06-2021,No,No,No,Good,18.99,Good
14,Feature Phone,6137694,Nokia,5310,28-12-2016,25-04-2021,No,No,Yes,Average,3.52,Average
15,Smart Phone,6708047,Samsung,Galaxy A6,23-08-2015,10-04-2021,No,No,No,Average,4.34,Average
16,Laptop,51162894,Lenovo,Ideapad,23-04-2019,27-02-2021,No,No,Yes,Poor,2.66,Average
17,Feature Phone,79819480,Samsung,215,12-10-2017,25-07-2021,No,Yes,No,Poor,1.8,Poor
18,Smart Phone,58673720,OnePlus,OnePlus nord,06-08-2014,18-06-2021,No,No,Yes,Average,5.39,Poor
19,Laptop,32720150,Lenovo,Ideapad,07-12-2018,03-01-2021,No,No,Yes,Average,7.57,Average
20,Laptop,81719358,Dell,Vostro,24-02-2017,07-06-2021,No,No,No,Good,11.9,Poor
21,Smart Phone,15452726,Oppo,A3s,13-09-2018,21-02-2021,Yes,Yes,Yes,Poor,3.21,Good
22,Smart Phone,19050522,Apple,Iphone X,02-04-2015,15-06-2021,Yes,Yes,Yes,Poor,4.34,Poor
23,Laptop,69281167,Apple,ProBook,28-07-2014,30-01-2021,No,No,No,Good,14.67,Good
24,Smart Phone,78364714,Oppo,N1,07-10-2014,08-02-2021,Yes,Yes,Yes,Average,8.58,Poor
25,Smart Phone,42389644,Oppo,Neo,21-02-2017,21-07-2021,Yes,Yes,Yes,Poor,4.67,Average
26,Smart Phone,95610139,Samsung,Galaxy S9,16-09-2018,09-08-2021,Yes,No,Yes,Good,7.46,Poor
27,Feature Phone,97888239,Nokia,5310,07-08-2020,27-03-2021,No,No,Yes,Average,2.52,Average
28,Laptop,44977078,Apple,MacBook,18-05-2017,27-03-2021,No,Yes,Yes,Average,4.51,Good
29,Smart Phone,22274830,Samsung,Galaxy J7 duo,22-06-2017,20-01-2021,Yes,No,Yes,Average,1.63,Poor
30,Smart Phone,46253996,Apple,Iphone 8,28-08-2019,21-06-2021,No,No,No,Good,4.31,Poor
31,Feature Phone,50417247,Samsung,6300,05-01-2019,04-07-2021,No,No,Yes,Good,11.25,Average
32,Smart Phone,34489710,OnePlus,OnePlus nord,20-07-2019,06-08-2021,No,No,No,Average,4.49,Average
33,Feature Phone,35765110,Nokia,5310,15-04-2017,18-02-2021,No,Yes,No,Good,18.77,Poor
34,Laptop,37139285,Apple,ProBook,06-08-2014,15-06-2021,No,Yes,Yes,Good,10.25,Good
35,Smart Phone,68885922,OnePlus,OnePlus 6,16-11-2016,13-01-2021,No,Yes,No,Poor,3.86,Good
36,Smart Phone,97387688,Oppo,Neo,18-02-2016,27-07-2021,Yes,Yes,Yes,Good,8.17,Poor
37,Feature Phone,74496839,Nokia,225,09-05-2017,09-01-2021,No,Yes,No,Average,2.69,Good
38,Smart Phone,3270769,Apple,Iphone SE,09-08-2018,29-01-2021,Yes,No,Yes,Good,4.66,Average
39,Laptop,96507711,Apple,ProBook,06-08-2018,20-03-2021,No,No,No,Poor,3.37,Average
40,Feature Phone,97676386,Nokia,5310,18-12-2018,15-02-2021,Yes,No,Yes,Average,1.9,Average
41,Smart Phone,95783499,Samsung,Galaxy S9,15-09-2019,19-05-2021,No,No,No,Good,17.99,Average
42,Feature Phone,79158589,Samsung,5310,01-11-2015,05-07-2021,No,Yes,Yes,Average,4.19,Average
43,Laptop,51714208,HP,Probook,08-11-2015,20-07-2021,No,Yes,No,Poor,3.22,Poor
44,Smart Phone,73610113,OnePlus,OnePlus 8,14-02-2018,16-07-2021,No,No,No,Good,8.65,Average
45,Smart Phone,24534505,Oppo,N1,09-01-2016,19-05-2021,No,Yes,No,Poor,3.59,Good
46,Laptop,89317631,Apple,MacBook,07-11-2014,14-05-2021,No,Yes,Yes,Good,14.54,Poor
47,Feature Phone,37175856,Samsung,125,06-09-2017,25-05-2021,Yes,No,Yes,Good,13.95,Average
48,Feature Phone,43971251,Nokia,6300,14-02-2014,10-07-2021,Yes,No,Yes,Poor,1.78,Average
49,Laptop,29576739,Apple,MacBook,16-08-2014,19-04-2021,No,No,No,Good,18.11,Good
50,Smart Phone,36199372,Oppo,A11k,29-08-2015,18-01-2021,No,Yes,No,Poor,3.3,Poor
51,Smart Phone,76288920,OnePlus,OnePlus 9R,07-03-2014,11-01-2021,No,Yes,No,Good,19.2,Average
52,Feature Phone,17699709,Samsung,5310,06-11-2018,25-06-2021,No,Yes,Yes,Average,8.6,Good
53,Smart Phone,41105795,Oppo,N1,17-01-2014,06-04-2021,No,No,No,Average,2.33,Poor
54,Feature Phone,57710075,Nokia,125,04-08-2017,06-02-2021,No,No,No,Good,7.59,Poor
55,Laptop,83897689,HP,EliteBook,21-07-2014,20-02-2021,No,No,No,Average,2.41,Good
